City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Arraial Do Cabo,BR,2021-05-31 20:56:20,-22.9661,-42.0278,71.56,94,75,2.3,light intensity drizzle
168,Port-Gentil,GA,2021-05-31 20:56:20,-0.7193,8.7815,78.76,94,75,12.66,broken clouds
169,Nikolskoye,RU,2021-05-31 20:56:21,59.7035,30.7861,50.4,92,100,4.0,light rain
170,Seia,PT,2021-05-31 20:56:21,40.4151,-7.7086,64.51,78,3,3.2,clear sky
171,Sao Felix Do Xingu,BR,2021-05-31 20:56:21,-6.6447,-51.995,77.92,61,3,1.97,clear sky
172,Cayenne,GF,2021-05-31 20:56:22,4.9333,-52.3333,77.09,89,90,11.7,overcast clouds
173,Luderitz,NA,2021-05-31 20:47:55,-26.6481,15.1594,58.8,70,0,22.06,clear sky
174,Paramonga,PE,2021-05-31 20:56:22,-10.6667,-77.8333,67.69,81,95,10.6,overcast clouds
175,Ahipara,NZ,2021-05-31 20:48:57,-35.1667,173.1667,59.97,73,11,13.38,few clouds
176,Ternate,ID,2021-05-31 20:56:23,0.8,127.4,81.86,78,100,9.19,overcast clouds
177,Saint-Philippe,RE,2021-05-31 20:47:42,-21.3585,55.7679,71.15,78,24,7.34,few clouds
178,Taseyevo,RU,2021-05-31 20:56:23,57.2169,94.8978,39.24,76,3,4.68,clear sky
179,Broken Hill,AU,2021-05-31 20:48:33,-31.95,141.4333,51.51,50,100,10.36,overcast clouds
180,Nizwa,OM,2021-05-31 20:56:24,22.9333,57.5333,88.68,23,99,4.14,overcast clouds
181,Vila Franca Do Campo,PT,2021-05-31 20:56:24,37.7167,-25.4333,64.81,91,98,12.33,overcast clouds
182,Conakry,GN,2021-05-31 20:54:14,9.538,-13.6773,82.47,78,75,6.91,broken clouds
183,Tibu,CO,2021-05-31 20:56:25,8.639,-72.7358,92.75,47,59,3.85,broken clouds
184,Kavieng,PG,2021-05-31 20:56:26,-2.5744,150.7967,80.13,80,98,5.35,overcast clouds
185,Ostrovnoy,RU,2021-05-31 20:48:06,68.0531,39.5131,39.97,90,100,22.66,overcast clouds
186,Kaitangata,NZ,2021-05-31 20:56:27,-46.2817,169.8464,45.93,83,78,6.22,broken clouds
187,Matara,LK,2021-05-31 20:56:28,5.9485,80.5353,79.77,83,98,13.69,overcast clouds
188,Tuatapere,NZ,2021-05-31 20:56:28,-46.1333,167.6833,39.61,89,61,4.21,broken clouds
189,Goba,ET,2021-05-31 20:56:29,7.0167,39.9833,50.2,83,45,5.26,scattered clouds
190,Iqaluit,CA,2021-05-31 20:47:40,63.7506,-68.5145,31.73,86,90,4.0,light snow
191,Novaya Igirma,RU,2021-05-31 20:56:29,57.1334,103.9112,42.98,90,95,2.55,overcast clouds
192,Yellowknife,CA,2021-05-31 20:56:29,62.456,-114.3525,61.32,47,75,5.99,broken clouds
193,Severo-Kurilsk,RU,2021-05-31 20:47:51,50.6789,156.125,37.65,98,100,23.4,light rain
194,Alofi,NU,2021-05-31 20:47:36,-19.0595,-169.9187,75.09,94,75,3.44,light rain
195,San Cristobal,VE,2021-05-31 20:56:30,7.7669,-72.225,80.78,53,47,4.34,scattered clouds
196,Hereford,GB,2021-05-31 20:56:31,52.0568,-2.7148,61.9,79,5,4.34,clear sky
197,Skjervoy,NO,2021-05-31 20:56:31,70.0311,20.9714,45.61,90,100,12.17,overcast clouds
198,Mujiayingzi,CN,2021-05-31 20:56:31,42.1167,118.7833,51.89,52,39,5.35,scattered clouds
199,Lagoa,PT,2021-05-31 20:56:32,39.05,-27.9833,59.85,74,76,16.44,broken clouds
200,Zabaykalsk,RU,2021-05-31 20:56:32,49.6333,117.3167,41.11,84,11,18.41,few clouds
201,Koundara,GN,2021-05-31 20:56:33,12.4833,-13.3,83.66,57,96,8.32,overcast clouds
202,Tsukumi,JP,2021-05-31 20:56:33,33.0706,131.8572,62.29,81,100,3.24,overcast clouds
203,Khairabad,IN,2021-05-31 20:56:34,27.5333,80.75,87.84,41,21,6.22,few clouds
204,Dourados,BR,2021-05-31 20:56:35,-22.2211,-54.8056,68.13,83,100,5.37,overcast clouds
205,Thinadhoo,MV,2021-05-31 20:56:35,0.5333,72.9333,84.02,68,68,18.05,broken clouds
