City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Aklavik,CA,2021-05-31 13:13:56,68.2191,-135.0107,34.68,69,64,12.86
167,Lebu,CL,2021-05-31 13:13:56,-37.6167,-73.65,57.29,96,100,10.31
168,Ceres,US,2021-05-31 13:13:57,37.5949,-120.9577,69.04,84,6,3.96
169,Richards Bay,ZA,2021-05-31 13:13:57,-28.783,32.0377,68.88,58,100,9.91
170,Mahebourg,MU,2021-05-31 13:13:58,-20.4081,57.7,78.26,68,0,8.63
171,San Patricio,US,2021-05-31 13:13:58,28.017,-97.5169,80.87,83,97,11.39
172,Marystown,CA,2021-05-31 13:13:59,47.1666,-55.1483,45.97,79,100,8.55
173,Chillan,CL,2021-05-31 13:13:59,-36.6066,-72.1034,52.12,100,90,9.22
174,Sahuaripa,MX,2021-05-31 13:14:00,29.05,-109.2333,69.4,40,0,4.16
175,Hermanus,ZA,2021-05-31 13:14:00,-34.4187,19.2345,63.81,74,44,14.72
176,Yukhnov,RU,2021-05-31 13:14:01,54.7444,35.2297,51.93,71,100,4.09
177,Helena,US,2021-05-31 13:11:01,46.5927,-112.0361,53.55,43,100,2.84
178,Hanna,CA,2021-05-31 13:14:01,51.6334,-111.9018,57.87,51,100,11.01
179,Aden,YE,2021-05-31 13:10:16,12.7794,45.0367,89.29,64,8,7.43
180,Yulara,AU,2021-05-31 13:14:02,-25.2406,130.9889,60.64,33,100,0.0
181,Lively,CA,2021-05-31 13:14:02,46.4334,-81.1498,57.02,50,79,3.94
182,Cherskiy,RU,2021-05-31 13:14:03,68.75,161.3,55.42,35,4,6.93
183,Beringovskiy,RU,2021-05-31 13:14:04,63.05,179.3167,31.1,90,84,9.33
184,Tatarsk,RU,2021-05-31 13:14:04,55.219,75.9828,78.57,41,18,16.84
185,Verkhnyaya Inta,RU,2021-05-31 13:14:04,65.9811,60.3094,46.94,51,100,18.48
186,Usakos,NA,2021-05-31 13:14:05,-22.0,15.6,81.75,13,0,5.28
187,Chuy,UY,2021-05-31 13:12:39,-33.6971,-53.4616,50.97,59,69,14.18
188,Longwy,FR,2021-05-31 13:14:06,49.5194,5.7688,71.82,41,0,12.82
189,Laguna,US,2021-05-31 13:14:06,38.421,-121.4238,73.76,70,12,2.89
190,Voh,NC,2021-05-31 13:14:07,-20.9667,164.7,67.12,65,80,5.88
